,Tweets,date
0,@ErikSolheim @Google_12point7 @ShehabBawazeer2 @China4Tech It will take a lot of humility on the side of America.,2023-03-06 18:41:26+00:00
1,"AI related Important terms you must know for UPSC Prelims:

(Google and just understand meaning of these terms)

1. Generative Pre-training Transformer
2. Machine learning
3. Deep learning
4. Natural language processing
5. Computer vision
6. Neural networks
7. Data mining

more-",2023-03-06 18:41:26+00:00
2,INEC chairman has obtained a new citizenship in a country called LATVIA.  He will be living in the capital city of the country.   Go and ask google what’s the capital city of Latvia so you can understand this tweet.  Don’t leave me. 📌😃,2023-03-06 18:41:26+00:00
3,"Technical difficulties delay committee meeting that Google exec was set to attend 

#technology #tech #technews #teknocks
via /r/technology https://t.co/dZ26AbbXxs",2023-03-06 18:41:25+00:00
4,I can't shake the feeling that young people probably don't care at all about conversational search. They've already been abandoning Google and Bing in favour of TikTok because you can get an answer in seconds without reading. Conversational AI search is the opposite behaviour.,2023-03-06 18:41:25+00:00
5,"Join the #MVPTradersLeague AMA on Mar. 7 👉https://t.co/MYUVmaV4CZ 

Win from the 💰 of 500 $USDC when you:
1⃣Like + RT + tag 3 friends on the pinned tweet
2⃣Register for the event👉https://t.co/yw6I6yITXi
3⃣Fill out the GF 👉https://t.co/3y81EHmqf1 https://t.co/RxIGBRYl0J",2023-03-06 18:41:25+00:00
6,"Got what it takes to become a legend? Rally your friends to join the #BlockchainSpace x @warlegendsco 4v4 Tournament and win amazing prizes! 

Registration's now open!
https://t.co/rzUCYwoKGm https://t.co/hVTObFoiYw",2023-03-06 18:41:24+00:00
7,"Wen WL? 

We're launching 12+ FREE gaming mints in 30 Days 👾🤯 

Want a chance to be a part of these amazing communities? 👀

We’ve created an insane opportunity to get some Mint Madness whitelists here: https://t.co/kcUwT60ILH 🪄

What mint are you the most excited for?👇 https://t.co/m7qekbWQlt",2023-03-06 18:41:24+00:00
8,"Streamr Network 💻
The first 5000 participants will get $10 each worth DATA token🔥

Complete Action and Get Rewards!
📌 https://t.co/Q0P0fDSomt

#streamr #DATA #Airdrop #Giveaway #Polygon #ETH #ETHDenver #BTC https://t.co/wROtGTMW6E",2023-03-06 18:41:23+00:00
9,"@UofT is bound to Big Oil. 

In November, @UofT_CPE hosted a Climate Economy Summit on achieving net-Zero, and was sponsored by @enbridgegas and @ImperialOil 😵‍💫🤮 

Big Oil has no place on our campus, and no place in climate research!! 

Sign our Petition: https://t.co/bnuEm5StsH https://t.co/wanDMQpFvl",2023-03-06 18:41:22+00:00
10,"Join #SEAChange, #NASATOPS, and @creativecommons on Thursday, March 9 at 1pm EST for a discussion on how #OpenScience presents opportunities to advance diversity, equity, and inclusion, and some of the challenges we should consider. Register here: https://t.co/sz60hxDSHq https://t.co/e1PPDXvH8o",2023-03-06 18:41:21+00:00
